Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Neubrandenburg, Stadt",17033,86.11,32852
"Grevenbroich, Stadt",41515,102.41,32419
Rosenheim,83022,37.22,31912
"Herten, Stadt",45699,37.33,31422
"Garbsen, Stadt",30827,79.49,31168
"Wesel, Stadt",46483,122.56,31247
"Schwäbisch Gmünd, Stadt",73525,113.78,30871
"Bergheim, Stadt",50126,96.34,30654
"Friedrichshafen, Stadt",88045,69.93,30025
"Hürth, Stadt",50354,51.22,30287
"Stralsund, Hansestadt",18439,54.14,30025
"Offenburg, Stadt",77652,78.37,29925
"Langenfeld (Rheinland), Stadt",40764,41.15,30102
"Frankfurt (Oder), Stadt",15230,147.85,30077
"Greifswald, Hansestadt",17489,50.81,30053
"Euskirchen, Stadt",53879,139.49,29167
"Neu-Ulm, GKSt",89231,80.95,28898
"Göppingen, Stadt",73033,59.21,28764
"Unna, Stadt4)",59423,88.56,/
"Hameln, Stadt",31785,102.53,29684
"Stolberg (Rhld.), Kupferstadt",52222,98.48,28429
"Sankt Augustin, Stadt",53757,34.22,28687
"Eschweiler, Stadt",52249,75.75,28677
"Görlitz, Stadt",2826,67.52,28989
"Hilden, Stadt",40721,25.95,28787
"Meerbusch, Stadt",40667,64.39,28872
"Waiblingen, Stadt",71332,42.75,27958
"Hattingen, Stadt",45525,71.66,28163
"Baden-Baden, Stadt",76530,140.19,28387
"Lingen (Ems), Stadt",49808,176.19,27228
"Pulheim, Stadt",50259,72.15,27853
"Bad Salzuflen, Stadt",32105,100.05,27943
"Bad Homburg v. d. Höhe, Stadt",61348,51.16,28263
"Langenhagen, Stadt",30853,71.97,27278
"Menden (Sauerland), Stadt",58706,86.1,27135
"Nordhorn, Stadt",48529,149.87,27006
"Neustadt an der Weinstraße, Stadt",67433,117.09,27336
"Ahlen, Stadt",59227,123.13,27006
Schweinfurt,97421,35.7,27087
"Wetzlar, Stadt",35578,75.67,27196
"Wolfenbüttel, Stadt",38300,78.74,26588
"Frechen, Stadt",50226,45.06,26749
"Goslar, Stadt",38640,163.88,26378
"Ibbenbüren, Stadt",49477,108.87,25969
Passau,94032,69.56,26694
"Kleve, Stadt",47533,97.76,25798
"Willich, Stadt",47877,67.8,26028
"Speyer, Stadt",67346,42.71,26138
"Emden, Stadt",26721,112.34,25281
"Gummersbach, Stadt",51643,95.42,25519
"Ravensburg, Stadt",88212,92.05,25412
"Bad Kreuznach, Stadt",55545,55.56,26305
"Peine, Stadt",31224,119.84,25169
"Böblingen, Stadt",71032,39.04,25195
"Erftstadt, Stadt",50374,119.89,25480
"Elmshorn, Stadt",25335,21.37,25122
"Lörrach, Stadt",79539,39.37,25477
"Bad Oeynhausen, Stadt",32545,64.83,24991
"Heidenheim an der Brenz, Stadt",89522,107.09,24564
"Cuxhaven, Stadt",27472,161.92,25503
"Bergkamen, Stadt",59192,44.9,24596
"Rheda-Wiedenbrück, Stadt",33378,86.72,24253
"Rastatt, Stadt",76437,58.98,24514
"Frankenthal (Pfalz), Stadt",67227,43.88,24962
"Freising, GKSt",85354,88.59,23797
"Bornheim, Stadt",53332,82.69,24407
"Leonberg, Stadt",71229,48.73,24037
"Singen (Hohentwiel), Stadt",78224,61.77,24449
"Soest, Stadt",59494,85.81,24560
"Gronau (Westf.), Stadt",48599,78.82,23740
"Hennef (Sieg), Stadt",53773,105.89,24194
"Stade, Hansestadt",21682,110.07,24121
Straubing,94315,67.59,23459
"Dachau, GKSt",85221,34.96,23914
"Neunkirchen, Kreisstadt",66538,75.26,23744
"Schwerte, Hansestadt an der Ruhr",58239,56.23,23944
"Alsdorf, Stadt",52477,31.68,23552
"Herzogenrath, Stadt",52134,33.38,23920
"Dülmen, Stadt",48249,184.83,23896
"Wittenberg, Lutherstadt",6886,240.41,23956
"Melle, Stadt",49324,253.95,23328
"Landau in der Pfalz, Stadt",76829,82.94,24247
"Oberursel (Taunus), Stadt",61440,45.37,23654
"Lahr/Schwarzwald, Stadt",77933,69.84,23044
"Bünde, Stadt",32257,59.3,23394
"Fellbach, Stadt",70734,27.71,23431
"Filderstadt, Stadt",70794,38.55,22876
Hof,95028,58.02,23552
"Gotha, Stadt",99867,69.58,22966
"Weinheim, Stadt",69469,58.11,23000
"Albstadt, Stadt",72458,134.4,22676
"Rodgau, Stadt",63110,65.04,22379
"Erkrath, Fundort des Neanderthalers, Stadt",40699,26.88,23044
"Brühl, Stadt",50321,36.12,23164
"Bruchsal, Stadt",76646,93.19,22058
"Rottenburg am Neckar, Stadt",72108,142.26,22068
"Oranienburg, Stadt",16515,163.66,22461
"Neustadt am Rübenberge, Stadt",31535,358.96,22131
"Lehrte, Stadt",31275,127.67,22035
"Kamen, Stadt",59174,40.95,22249
"Erkelenz, Stadt",41812,117.34,22184
Memmingen,87700,70.11,21962
"Kaarst, Stadt",41564,37.39,22470
Kaufbeuren,87600,40.02,21942
"Falkensee, Stadt",14612,43.27,21998
"Bietigheim-Bissingen, Stadt",74321,31.29,21829
"Wismar, Hansestadt",23952,41.72,21969
"Halberstadt, Stadt",38820,142.98,20863
"Pinneberg, Stadt",25421,21.54,21937
"Eisenach, Stadt",99817,104.17,21619
"Weiden i.d.OPf.",92637,70.57,22037
"Borken, Stadt",46325,152.97,21550
Amberg,92224,50.13,21447
"Nordhausen, Stadt",99734,105.62,21469
"Nettetal, Stadt",41334,83.87,21289
"Homburg, Kreisstadt",66424,82.61,21478
"Gifhorn, Stadt",38518,105.39,21266
"Aurich, Stadt",26603,197.29,21214
"Freiberg, Stadt, Universitätsstadt",9599,48.32,20687
Ansbach,91522,99.91,21647
"Wunstorf, Stadt",31515,125.74,21268
"Heinsberg, Stadt",52525,92.21,21085
"Laatzen, Stadt",30880,34.16,21358
"Lemgo, Stadt",32657,100.85,20778
Coburg,96450,48.29,21142
"Dreieich, Stadt",63303,53.3,20917
"Siegburg, Stadt",53721,23.66,20885
"Königswinter, Stadt",53639,76.17,20991
"Monheim am Rhein, Stadt",40789,23.05,21181
"Nürtingen, Stadt",72622,46.88,20388
Schwabach,91126,40.8,20886
"Weißenfels, Stadt",6667,113.55,20039
"Pirmasens, Stadt",66953,61.36,20732
"Bensheim, Stadt",64625,57.83,20506
"Stendal, Hansestadt",39576,268.02,20493
"Kirchheim unter Teck, Stadt",73230,40.47,20304
"Germering, GKSt",82110,21.6,20743
"Buxtehude, Hansestadt",21614,76.69,20126
"Eberswalde, Stadt",16225,93.64,20311
"Bautzen, Stadt",2625,66.69,20538
"Bitterfeld-Wolfen, Stadt",6766,86.96,20591
"Löhne, Stadt",32584,59.51,20310
"Leinfelden-Echterdingen, Stadt",70771,29.89,19956
"Völklingen, Stadt",66333,67.1,20297
"Neumarkt i.d.OPf., GKSt",92318,79.01,20267
"Schorndorf, Stadt",73614,56.83,20135
"Hofheim am Taunus, Kreisstadt",65719,57.38,20252
"Hückelhoven, Stadt",41836,61.27,19921
"Freital, Stadt",1705,40.45,20184
"Ettlingen, Stadt",76275,56.75,20124
"Schwäbisch Hall, Stadt",74523,104.24,20270
"Ahaus, Stadt",48683,151.24,19663
"Ostfildern, Stadt",73760,22.81,19647
"Würselen, Stadt",52146,34.39,19790
"Maintal, Stadt",63477,32.4,19654
"Mettmann, Stadt",40822,42.56,20073
"Buchholz in der Nordheide, Stadt",21244,74.76,20177
"Pirna, Stadt",1796,53.06,19631
"Haltern am See, Stadt",45721,159.03,19438
"Niederkassel, Stadt",53859,35.79,19154
"Bernau bei Berlin, Stadt",16321,104.17,19347
"Neu-Isenburg, Stadt",63263,24.31,19055
"Kamp-Lintfort, Stadt",47475,63.14,19012
"Langen (Hessen), Stadt",63225,29.12,18909
"Fürstenfeldbruck, GKSt",82256,32.53,18751
"Warendorf, Stadt",48231,176.88,19086
"Greven, Stadt",48268,140.26,18779
"Beckum, Stadt",59269,111.46,18559
"Papenburg, Stadt",26871,118.44,18053
"Backnang, Stadt",71522,39.38,18461
"Königs Wusterhausen, Stadt",15711,96.04,18559
"Coesfeld, Stadt",48653,141.36,18467
"Erding, GKSt",85435,54.61,18726
"Emsdetten, Stadt",48282,72.06,18263
"Voerde (Niederrhein), Stadt",46562,53.49,18525
"St. Ingbert, Stadt",66386,49.95,18764
"Wesseling, Stadt",50389,23.37,18077
"Porta Westfalica, Stadt",32457,105.22,18050
"Suhl, Stadt",98527,103.03,18271
"Sinsheim, Stadt",74889,126.99,17729
"Kehl, Stadt",77694,75.07,17904
"Lage, Stadt",32791,76.04,17782
"Tuttlingen, Stadt",78532,90.45,17568
"Meppen, Stadt",49716,188.4,17725
"Kempen, Stadt",47906,68.8,17868
"Saarlouis, Kreisstadt",66740,43.28,17889
"Limburg a.d. Lahn, Kreisstadt",65549,45.15,17625
"Wermelskirchen, Stadt",42929,74.8,17721
"Datteln, Stadt",45711,66.1,17625
"Zweibrücken, Stadt",66482,70.64,17416
"Winsen (Luhe), Stadt",21423,109.79,17446
"Cloppenburg, Stadt",49661,70.86,17391
"Mörfelden-Walldorf, Stadt",64546,44.15,16924
"Leer (Ostfriesland), Stadt",26789,70.11,17121
"Viernheim, Stadt",68519,48.4,17366
"Merseburg, Stadt",6217,53.76,17405
"Barsinghausen, Stadt",30890,102.81,17183
"Dietzenbach, Kreisstadt",63128,21.67,16969
"Radebeul, Stadt",1445,26.14,17493
"Hemer, Stadt4)",58675,67.66,/
"Geldern, Stadt",47608,96.97,16877
"Seelze, Stadt",30926,54.08,17059
"Balingen, Stadt",72336,90.32,17343
"Crailsheim, Stadt",74564,109.08,16773
"Goch, Stadt",47574,115.43,16816
"Uelzen, Hansestadt",29525,136.84,17295
"Steinfurt, Stadt",48565,111.67,16955
"Hoyerswerda, Stadt",2977,95.53,17420
"Bernburg (Saale), Stadt",6406,113.48,17127
"Kornwestheim, Stadt",70806,14.65,16903
"Bad Vilbel, Stadt",61118,25.68,17229
"Wedel, Stadt",22880,33.82,17167
"Mühlhausen/Thüringen, Stadt",99974,86.74,17134
"Korschenbroich, Stadt",41352,55.26,16907
"Ahrensburg, Stadt",22926,35.3,17306
"Wernigerode, Stadt",38855,170.18,17287
"Rheinfelden (Baden), Stadt",79618,62.82,16735
"Altenburg, Stadt",4600,45.69,16900
"Naumburg (Saale), Stadt",6618,129.9,16895
"Deggendorf, GKSt",94469,77.14,16692
"Biberach an der Riß, Stadt",88400,72.15,16596
"Lampertheim, Stadt",68623,72.28,16441
"Jülich, Stadt",52428,90.39,16257
"Vechta, Stadt",49377,87.88,16236
"Fürstenwalde/Spree, Stadt",15517,70.68,16141
"Delbrück, Stadt",33129,157.28,15654
"Forchheim, GKSt",91301,44.45,16576
"Bad Nauheim, Stadt",61231,32.54,16884
"Itzehoe, Stadt",25524,28.03,16630
"Georgsmarienhütte, Stadt",49124,55.45,16123
"Oer-Erkenschwick, Stadt",45739,38.66,15930
"Achim, Stadt",28832,68.06,16146
"Rheinberg, Stadt",47495,75.24,16003
"Nienburg (Weser), Stadt",31582,64.53,16149
"Herrenberg, Stadt",71083,65.7,15978
"Bramsche, Stadt",49565,183.39,15311
"Kreuztal, Stadt",57223,71.07,15673
"Einbeck, Stadt",37574,231.92,15920
"Schönebeck (Elbe), Stadt",39218,86.02,16053
"Geestland, Stadt",27607,356.83,15904
"Neuruppin, Stadt",16816,305.25,15829
"Gevelsberg, Stadt",58285,26.34,15890
"Riesa, Stadt",1589,58.91,15902
"Emmerich am Rhein, Stadt",46446,80.4,15269
"Werl, Stadt",59457,76.35,15067
"Radolfzell am Bodensee, Stadt",78315,58.55,15887
"Geesthacht, Stadt",21502,33.25,15536
"Haan, Stadt",42781,24.19,15840
"Osterholz-Scharmbeck, Stadt",27711,147.17,15477
"Lohmar, Stadt",53797,65.62,15427
"Burgdorf, Stadt",31303,112.56,15448
"Schwedt/Oder, Stadt",16303,205.56,15673
"Weil am Rhein, Stadt",79576,19.46,15543
"Meschede, Kreis- und  Hochschulstadt",59872,218.5,15188
