Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Zerbst/Anhalt, Stadt",39261,467.77,10753
"Neusäß, St",86356,25.22,10493
"Waldkirch, Stadt",79183,48.47,10581
"Laupheim, Stadt",88471,61.79,10861
"Metzingen, Stadt",72555,34.55,10661
"Halle (Westf.), Stadt",33790,69.7,10764
"Büren, Stadt",33142,170.99,11174
"Hockenheim, Stadt",68766,34.84,10845
"Schwetzingen, Stadt",68723,21.62,10453
"Xanten, Stadt",46509,72.43,10604
"Rotenburg (Wümme), Stadt",27356,99.06,10573
"Versmold, Stadt",33775,85.57,10868
"Heide, Stadt",25746,31.97,10208
"Sonthofen, St",87527,46.55,10304
"Eppingen, Stadt",75031,88.58,10681
"Stadtallendorf, Stadt",35260,78.29,10640
"Wipperfürth, Hansestadt",51688,118.3,10561
"Waren (Müritz), Stadt",17192,159.46,10061
"Soltau, Stadt",29614,203.77,10449
"Puchheim, St",82178,12.24,10315
"Wülfrath, Stadt",42489,32.27,10384
"Elsdorf, Stadt",50189,66.17,10450
"Eschborn, Stadt",65760,12.13,10407
"Meiningen, Stadt",98617,59.46,10452
"Seligenstadt, Stadt",63500,30.85,10297
"Rees, Stadt",46459,109.86,10404
"Aichach, St",86551,92.84,10306
"Geseke, Stadt",59590,97.88,10499
"Flörsheim am Main, Stadt",65439,22.95,10320
"Reichenbach im Vogtland, Stadt",8468,34.46,10174
"Groß-Umstadt, Stadt",64823,86.84,10451
"Schramberg, Stadt",78713,80.7,10537
"Bad Rappenau, Stadt",74906,73.56,10324
"Greiz, Stadt",7973,76.44,10130
"Fröndenberg/Ruhr, Stadt",58730,56.23,10285
"Werdau, Stadt",8412,65.63,10238
"Traunreut, St",83301,45.06,10329
"Kitzingen, GKSt",97318,46.99,10170
"Blieskastel, Stadt",66440,108.21,10362
"Kaltenkirchen, Stadt",24568,23.1,10219
"Coswig, Stadt",1640,25.88,9994
"Waghäusel, Stadt",68753,42.84,10336
"Quickborn, Stadt",25451,43.17,10106
"Germersheim, Stadt",76726,21.68,10461
"Duderstadt, Stadt",37115,95.64,10149
"Meinerzhagen, Stadt",58540,115.67,10332
"Herborn, Stadt",35745,63.8,10124
"Burgwedel, Stadt",30938,152.85,9815
"Luckenwalde, Stadt",14943,46.61,9962
"Enger, Widukindstadt",32130,41.24,10074
"Bruchköbel, Stadt",63486,29.69,10018
"Wittmund, Stadt",26409,210.15,10062
"Neustrelitz, Stadt",17235,139.86,9893
"Schortens, Stadt",26419,68.8,9980
"Eislingen/Fils, Stadt",73054,16.41,10025
"Stadtlohn, Stadt",48703,79.25,10263
"Dillingen/ Saar, Stadt",66763,22.05,9942
"Rheinstetten, Stadt",76287,32.31,9942
"Annaberg-Buchholz, Stadt",9456,28.15,9747
"Günzburg, GKSt",89312,55.4,9987
"Mössingen, Stadt",72116,50.03,9847
"Blankenburg (Harz), Stadt",38889,148.94,9740
"Holzminden, Stadt",37603,88.24,9965
"Bad Schwartau, Stadt",23611,18.39,9364
"Bad Waldsee, Stadt",88339,108.55,9795
"Lichtenfels, St",96215,122.16,9874
"Torgau, Stadt",4860,102.8,9941
"Nidderau, Stadt",61130,46.73,9975
"Hörstel, Stadt",48477,107.54,10068
"Nördlingen, GKSt",86720,68.09,9887
"Zülpich, Stadt",53909,101.01,9820
"Schifferstadt, Stadt",67105,28.06,9927
"Traunstein, GKSt",83278,48.57,9575
"Ennigerloh, Stadt",59320,125.56,10012
"Oberkirch, Stadt",77704,69.09,9923
"Oschersleben (Bode), Stadt",39387,188.92,9785
"Marsberg, Stadt",34431,182.22,10120
"Donauwörth, GKSt",86609,77.04,9901
"Eschwege, Kreisstadt",37269,63.27,9542
"Telgte, Stadt",48291,90.84,9506
"Gerlingen, Stadt",70839,17.01,9620
"Mühldorf a.Inn, St",84453,29.42,9750
"Schopfheim, Stadt",79650,67.94,9513
"Ochtrup, Stadt",48607,105.63,9979
"Giengen an der Brenz, Stadt",89537,44.07,9784
"Wildeshausen, Stadt",27793,89.7,9680
"Sulzbach-Rosenberg, St",92237,53.12,9586
"Bückeburg, Stadt",31675,68.9,9340
"Borna, Stadt",4552,62.44,9322
"Haiger, Stadt",35708,106.67,9554
"Seesen, Stadt",38723,102.32,9363
"Dingolfing, St",84130,44,10040
"Waldbröl, Stadt",51545,63.32,9406
"Prenzlau, Stadt",17291,142.96,9285
"Bad Berleburg, Stadt",57319,275.52,9675
"Sarstedt, Stadt",31157,43,9477
"Haldensleben, Stadt",39340,156.2,9584
"Rhede, Stadt",46414,78.9,9551
"Korntal-Münchingen, Stadt",70825,20.71,9546
"Schenefeld, Stadt",22869,9.99,9345
"Bad Pyrmont, Stadt",31812,61.99,9042
"Schmalkalden, Kurort, Stadt",98574,98.3,9729
"Bad Krozingen, Stadt",79189,35.65,9204
"Bad Friedrichshall, Stadt",74177,24.71,9639
"Alfeld (Leine), Stadt",31061,72.88,9367
"Hechingen, Stadt",72379,66.41,9442
"Mayen, Stadt",56727,58.19,9429
"Weil der Stadt, Stadt",71263,43.17,9480
"Crimmitschau, Stadt",8451,61.15,9157
"Mölln, Stadt",23879,25.05,9069
"Bergneustadt, Stadt",51702,37.89,9270
"Heusenstamm, Stadt",63150,19.03,9361
"Tettnang, Stadt",88069,71.25,9407
"Müllheim, Stadt",79379,57.91,9147
"Sömmerda, Stadt",99610,81.11,9270
"Hemmingen, Stadt",30966,31.73,9198
"Lebach, Stadt",66822,64.21,9576
"Auerbach/Vogtl., Stadt",8209,55.52,9043
"Wittlich, Stadt",54516,49.63,9442
"Püttlingen, Stadt",66346,23.95,9044
"Vlotho, Stadt",32602,76.93,9287
"Forst (Lausitz), Stadt",3149,110.7,9076
"Schneverdingen, Stadt",29640,234.92,9053
"Leinefelde-Worbis, Stadt",37327,96.87,9281
"Bremervörde, Stadt",27432,150.42,9380
"Bad Dürkheim, Stadt",67098,102.55,8779
"Bad Aibling, St",83043,41.4,8958
"Dillingen a.d.Donau, GKSt",89407,75.59,9129
"Bad Tölz, St",83646,30.8,8845
"Wolfratshausen, St",82515,9.13,8960
"Radeberg, Stadt",1454,29.83,9109
"Alzenau, St",63755,59.3,9044
"Burghausen, St",84489,19.81,8977
"Marktoberdorf, St",87616,95.15,9112
"Sachsenheim, Stadt",74343,57.92,9123
"Kolbermoor, St",83059,19.83,8991
"Bad Driburg, Stadt4)",33014,115.3,/
"Glinde, Stadt",21509,11.22,8996
"Burscheid, Stadt",51399,27.33,9050
"Kronberg im Taunus, Stadt",61476,18.62,8585
"Uetersen, Stadt",25436,11.43,8964
"Großenhain, Stadt",1558,130.36,8996
"Weißenburg i.Bay., GKSt",91781,97.58,8955
"Pfullingen, Stadt",72793,30.14,8867
"Konz, Stadt",54329,44.56,8906
"Moosburg a.d.Isar, St",85368,43.85,9124
"Hessisch Oldendorf, Stadt",31840,120.32,8964
"Zossen, Stadt",15806,180.4,9031
"Alzey, Stadt",55232,35.22,8973
"Pohlheim, Stadt",35415,38,8860
"Schwalmstadt, Stadt",34613,84.74,9176
"Lahnstein, Stadt",56112,37.62,8715
"Vellmar, Stadt",34246,13.97,8528
"Wassenberg, Stadt",41849,42.43,8892
"Parchim, Stadt",19370,124.82,8719
"Buchen (Odenwald), Stadt",74722,138.93,8867
"Schkeuditz, Stadt",4435,81.47,9220
"Werdohl, Stadt",58791,33.39,8869
"Bexbach, Stadt",66450,31.09,8715
"Frankenberg (Eder), Stadt",35066,124.87,8825
"Wörth am Rhein, Stadt",76744,131.62,8731
"Bad Reichenhall, GKSt",83435,41.92,8450
"Freudenberg, Stadt",57258,54.6,8854
"Thale, Stadt",6502,137.58,8750
"Oberasbach, St",90522,12.08,8423
"Renningen, Stadt",71272,31.15,8779
"Sinzig, Stadt",53489,41.1,8539
"Sigmaringen, Stadt",72488,92.84,9000
"Guben, Stadt",3172,43.99,8359
"Nauen, Stadt",14641,268.14,8651
"Bad Segeberg, Stadt",23795,18.87,8365
"Bad Saulgau, Stadt",88348,97.33,8497
"Bad Langensalza, Stadt",99947,123.67,8516
"Bad Münder am Deister, Stadt",31848,107.97,8489
"Hochheim am Main, Stadt",65239,19.43,8450
"Wittenberge, Stadt",19322,50.63,8374
"Nidda, Stadt",63667,118.35,8675
"Bad Münstereifel, Stadt",53902,150.83,8441
"Marktredwitz, GKSt",95615,49.52,8281
"Oerlinghausen, Stadt",33813,32.69,8447
"Marienberg, Stadt",9496,133.5,8553
"Horn-Bad Meinberg, Stadt",32805,90.15,8387
"Altena, Stadt",58762,44.42,8507
"Schwarzenberg/Erzgeb., Stadt",8340,46.31,8206
"Gescher, Glockenstadt",48712,80.84,8661
"Bobingen, St",86399,50.25,8483
"Illertissen, St",89257,36.39,8409
"Garching b.München, St",85748,28.17,8829
"Bad Säckingen, Stadt",79713,25.34,8273
"Eutin, Stadt",23701,41.4,8035
"Eltville am Rhein, Stadt",65343,46.77,8233
"Bad Wildungen, Stadt",34537,120.08,8325
"Heilbad Heiligenstadt, Stadt",37308,62.26,8465
"Damme, Stadt",49401,104.39,8496
"Schrobenhausen, St",86529,75.26,8364
"Kronach, St",96317,66.98,8228
"Stockach, Stadt",78333,69.73,8328
"Bendorf, Stadt",56170,24.12,8225
"Babenhausen, Stadt",64832,66.87,8425
"Cham, St",93413,80.69,8264
"Weißwasser/O.L., Stadt",2943,63.42,7962
"Freilassing, St",83395,14.81,8060
"Diepholz, Stadt",49356,104.68,8156
"Gunzenhausen, St",91710,82.72,7893
"Finsterwalde, Stadt",3238,77.21,7893
"Penzberg, St",82377,25.73,8075
"Königstein im Taunus, Stadt",61462,25.07,7770
"Kelheim, St",93309,76.7,8274
"Remagen, Stadt",53424,33.21,8094
"Brakel, Stadt",33034,173.92,8293
"Sulzbach/ Saar, Stadt",66280,16.07,8040
"Kirchhain, Stadt",35274,90.92,8125
"Heidenau, Stadt",1809,11.07,8078
"Trossingen, Stadt",78647,24.2,8222
"Ginsheim-Gustavsburg, Stadt",65462,13.94,8003
"Hünfeld, Konrad-Zuse-Stadt",36088,119.77,8221
"Wurzen, Stadt",4808,69.04,7802
"Wendlingen am Neckar, Stadt",73240,12.15,8084
"Kierspe, Stadt",58566,71.91,8049
"Schwarzenbek, Stadt",21493,11.56,8000
"Halver, Stadt",58553,77.23,7967
"Reinheim, Stadt",64354,27.7,8004
"Vilshofen an der Donau, St",94474,86.29,8072
"Aue, Stadt",8280,20.92,7757
"Bürstadt, Stadt",68642,34.46,8044
"Bargteheide, Stadt",22941,15.82,7738
"Templin, Stadt",17268,379.49,7849
"Zeulenroda-Triebes, Stadt",7937,135.14,7812
"Lübbenau/Spreewald, Stadt",3222,139.4,7823
"Michelstadt, Stadt",64720,86.98,7928
"Preetz, Stadt",24211,14.4,7637
"Erwitte, Stadt",59597,89.41,7907
"Kelsterbach, Stadt",65451,15.37,8230
"Raunheim, Stadt",65479,12.61,8030
"Alsfeld, Stadt",36304,129.69,7880
"Freiberg am Neckar, Stadt",71691,13.14,7838
"Brackenheim, Stadt",74336,45.75,7974
"Schlüchtern, Stadt",36381,113.31,7848
"Straelen, Stadt",47638,74.04,7943
"Königslutter am Elm, Stadt",38154,131.12,7829
"Blaustein, Stadt",89134,55.61,7940
"Wadern, Stadt",66687,111.14,7832
"Bassum, Stadt",27211,168.85,7808
"Bad Wörishofen, St",86825,57.79,7445
"Bad Salzungen, Stadt",36433,39.04,7692
"Bad Lippspringe, Stadt",33175,51.01,7633
"Marbach am Neckar, Stadt",71672,18.06,7676
"Dieburg, Stadt",64807,23.08,7618
"Eilenburg, Stadt",4838,46.84,7520
"Weener, Stadt",26826,81.23,7755
"Clausthal-Zellerfeld, Berg- und Universitätsstadt",38678,43.69,8681
"Bad Arolsen, Stadt",34454,126.38,7633
"Markranstädt, Stadt",4420,58.46,7520
"Pocking, St",94060,68.86,7526
"Drensteinfurt, Stadt",48317,106.6,7679
"Walldorf, Stadt",69190,19.91,7739
"Schwalbach am Taunus, Stadt",65824,6.47,7432
"Rahden, Stadt",32369,137.48,7779
"Füssen, St",87629,43.48,7406
"Boppard, Stadt",56154,74.88,7542
"Breisach am Rhein, Stadt",79206,54.59,7624
"Ebersbach an der Fils, Stadt",73061,26.26,7641
"Taucha, Stadt",4425,33.23,7450
"Bad Bentheim, Stadt",48455,99.99,7623
"Bad Neustadt a.d.Saale, St",97616,36.89,7390
"Blomberg, Stadt",32825,99.1,7634
"Altdorf b.Nürnberg, St",90518,48.59,7526
"Hofgeismar, Stadt",34369,86.39,7373
"Künzelsau, Stadt",74653,75.17,7692
"Eppelheim, Stadt",69214,5.7,7494
"Hückeswagen, Schloss-Stadt",42499,50.52,7560
"Neustadt in Holstein, Stadt",23730,19.74,7190
"Ribnitz-Damgarten, Stadt",18311,122.83,7229
"Neustadt b.Coburg, GKSt",96465,61.89,7411
"Ober-Ramstadt, Stadt",64372,41.88,7464
"Kamenz, Stadt",1917,53.25,7448
"Brake (Unterweser), Stadt",26919,38.3,7385
"Lohr a.Main, St",97816,90.42,7496
"Witzenhausen, Stadt",37213,126.69,7350
"Hilchenbach, Stadt",57271,81.12,7451
"Landsberg, Stadt",6188,125.38,7512
"Löbau, Stadt",2708,78.9,7274
"Selb, GKSt",95100,86.07,7270
"Schriesheim, Stadt",69198,31.61,7271
"Munster, Stadt",29633,194.52,7706
"Mainburg, St",84048,61.53,7573
"Mittweida, Stadt, Hochschulstadt",9648,41.26,7410
"Langenau, Stadt",89129,75.03,7476
"Karlstadt, St",97753,98.14,7338
"Stadtbergen, St",86391,11.49,7186
"Gehrden, Stadt",30989,43.24,7102
"Hohenstein-Ernstthal, Stadt",9337,18.58,7097
"Lauchhammer, Stadt",1979,88.9,7203
"Markgröningen, Stadt",71706,28.15,7448
"Mindelheim, St",87719,56.42,7339
"Olsberg, Stadt",59939,118,7326
"Fritzlar, Dom- und Kaiserstadt",34560,88.78,7255
"Kraichtal, Stadt",76703,80.59,7315
"Neu-Anspach, Stadt",61267,36.14,7252
"Spenge, Stadt",32139,40.35,7173
"Eberbach, Stadt",69412,81.15,7065
"Meerane, Stadt",8393,19.81,7028
"Oschatz, Stadt",4758,55.44,7145
"Lauda-Königshofen, Stadt",97922,94.44,7260
"Ottweiler, Stadt",66564,45.56,7252
"Bad Wurzach, Stadt",88410,182.24,7433
"Bitburg, Stadt",54634,47.55,6995
"Sandersdorf-Brehna, Stadt",6792,81.84,7093
"Ratzeburg, Stadt",23909,30.29,6862
"Dorfen, St",84405,99.56,7269
"Dippoldiswalde, Stadt",1744,103.99,7173
"Pattensen, Stadt",30982,67.13,7041
"Hettstedt, Stadt",6333,36.93,7086
"Genthin, Stadt",39307,230.73,7152
"Sassenberg, Stadt",48336,78.08,7238
"Rotenburg a. d. Fulda, Stadt",36199,79.83,7157
"Uslar, Stadt",37170,113.58,7059
"Uhingen, Stadt",73066,24.79,7083
"Münsingen, Stadt",72525,116.93,7063
"Wittstock/Dosse, Stadt",16909,420.24,7043
"Frankenberg/Sa., Stadt",9669,65.62,7092
"Jessen (Elster), Stadt",6917,352.12,7094
"Usingen, Stadt",61250,55.83,7007
"Immenstadt i.Allgäu, St",87509,81.43,6921
"Gernsbach, Stadt",76593,82.03,6984
"Jever, Stadt",26441,42.23,6767
"Erlensee, Stadt",63526,18.59,7034
"Schneeberg, Stadt",8289,23.35,6907
"Wanzleben-Börde, Stadt",39164,188.07,7107
"Bad Camberg, Stadt",65520,54.63,6979
"Bad Bramstedt, Stadt",24576,24.14,6965
"Lauterbach (Hessen), Kreisstadt",36341,102,6988
"Plochingen, Stadt",73207,10.64,6950
"Wilsdruff, Stadt",1723,81.6,6929
"Bebra, Stadt",36179,93.64,6892
"Murrhardt, Stadt",71540,71.15,6905
"Homberg (Efze), Reformationsstadt, Kreisstadt",34576,99.99,6951
"Leuna, Stadt",6237,87.71,6937
"Oberndorf am Neckar, Stadt",78727,55.92,6936
"Langenselbold, Stadt",63505,26.26,6787
"Oebisfelde-Weferlingen, Stadt",39646,249.31,6998
"Kalkar, Stadt",47546,88.2,6882
"Lübben (Spreewald), Stadt",15907,120.85,6669
"Isny im Allgäu, Stadt",88316,85.39,6872
"Schwabmünchen, St",86830,55.5,6810
"Stein, St",90547,19.51,6573
"Markdorf, Stadt",88677,40.91,6794
"Bad Laasphe, Stadt",57334,135.95,6940
"Angermünde, Stadt",16278,324.2,6623
"Neustadt a.d.Donau, St",93333,93.53,7055
"Zeven, Stadt",27404,74.14,6982
"Grünberg, Stadt",35305,89.24,6775
"Biedenkopf, Stadt",35216,90.33,6827
"Eppstein, Stadt",65817,24.21,6747
"Aßlar, Stadt",35614,43.57,6753
"Melsungen, Stadt",34212,63.1,6730
"Abensberg, St",93326,60.27,7052
"Bergen auf Rügen, Stadt",18528,51.49,6534
"Schwentinental, Stadt",24223,17.82,6594
"Neutraubling, St",93073,9.75,6686
"Südliches Anhalt, Stadt",6369,191.54,6752
"Eggenfelden, St",84307,44.35,6639
"Erbach, Kreisstadt",64711,61.53,6518
"Grafing b.München, St",85567,29.57,6573
"Solms, Stadt",35606,34.05,6700
"Lorsch, Karolingerstadt",64653,25.24,6524
"Grünstadt, Stadt",67269,18.09,6611
"Zehdenick, Stadt",16792,223.06,6731
"Bad Soden-Salmünster, Stadt",63628,58.6,6625
"Eichstätt, GKSt",85072,47.78,6573
"Asperg, Stadt",71679,5.8,6676
"Weißenhorn, St",89264,53.72,6767
"Haßfurt, St",97437,52.66,6618
"Erbach, Stadt",89155,63.29,6742
"Hilpoltstein, St",91161,89.71,6802
"Philippsburg, Stadt",76661,50.54,6850
"Tornesch, Stadt",25436,20.61,6535
"Höchstadt a.d.Aisch, St",91315,70.87,6632
"Beverungen, Stadt",37688,98.09,6591
"Bergen, Stadt",29303,164.4,6586
"Lich, Stadt",35423,77.63,6537
"Vöhringen, St",89269,23.69,6535
"Pegnitz, St",91257,99.98,6489
"Bad Salzdetfurth, Stadt",31162,67.2,6492
"Neckargemünd, Stadt",69151,26.16,6469
"Tauberbischofsheim, Stadt",97941,69.29,6579
"Löningen, Stadt",49624,143.53,6606
"Wolfhagen, Stadt",34466,111.95,6679
"Landau a.d.Isar, St",94405,84.39,6523
"Sendenhorst, Stadt",48324,96.95,6537
"Pfullendorf, Stadt",88630,90.5,6567
"Herbrechtingen, Stadt",89542,58.63,6513
"Burglengenfeld, St",93133,93.26,6398
"Bad Dürrheim, Stadt",78073,62.08,6340
"Wiesmoor, Stadt",26639,82.94,6365
"Rödental, St",96472,49.97,6487
"Waltershausen, Stadt",99880,60.62,6506
"Östringen, Stadt",76684,53.28,6732
"Quakenbrück, Stadt",49610,17.96,6455
"Weilburg, Stadt",35781,57.5,6540
"Herzberg am Harz, Stadt",37412,71.88,6377
"Velen, Stadt",46342,70.75,6648
"Montabaur, Stadt",56410,33.77,6269
"Möckern, Stadt",39291,523.94,6609
"Holzgerlingen, Stadt",71088,13.39,6411
"Dinklage, Stadt",49413,72.81,6559
"Plattling, St",94447,35.9,6485
"Krumbach (Schwaben), St",86381,44.64,6388
"Schleiden, Stadt",53937,121.67,6387
"Ettenheim, Stadt",77955,48.8,6251
"Wehr, Stadt",79664,35.66,6254
"St. Georgen im Schwarzwald, Stadt",78112,59.84,6381
"Steinheim, Stadt",32839,75.69,6395
"Neustadt a.d.Aisch, St",91413,61.21,6221
"Winterberg, Stadt",59955,147.95,6423
"Treuchtlingen, St",91757,103.38,6472
"Altötting, St",84503,23.07,6059
"Brunsbüttel, Stadt",25541,65.2,6433
"Linden, Stadt",35440,22.77,6382
"Spaichingen, Stadt",78549,18.5,6317
"Wasserburg a.Inn, St",83512,18.8,6402
"Sulingen, Stadt",27232,110.83,6335
"Borken (Hessen), Stadt",34582,82.3,6417
"Haselünne, Stadt",49740,159.43,6351
"Schüttorf, Stadt",48465,19.45,6372
"Buchloe, St",86807,36.18,6239
"Anklam, Stadt",17389,56.68,6006
"Fehmarn, Stadt",23769,185.49,6152
"Wernau (Neckar), Stadt",73249,10.89,6302
"Olfen, Stadt",59399,52.43,6091
"Wächtersbach, Stadt",63607,50.79,6171
"Hadamar, Stadt",65589,40.99,6253
"Preußisch Oldendorf, Stadt",32361,68.75,6106
"Linnich, Stadt",52441,65.43,6142
"Pfarrkirchen, St",84347,52.35,6025
"Hungen, Stadt",35410,86.78,6120
"Hersbruck, St",91217,22.91,6110
"Bad Windsheim, St",91438,78.24,6051
"Bad Urach, Stadt",72574,55.42,6118
"Perleberg, Stadt",19348,138.69,6142
"Neustadt i. Sa., Stadt",1844,83.12,5963
"Bad Freienwalde (Oder), Stadt",16259,131.11,5995
"Jüterbog, Stadt",14913,176.48,6017
"Ludwigslust, Stadt",19288,78.63,5905
"Feuchtwangen, St",91555,137.21,6162
"Ebersbach-Neugersdorf, Stadt",2730,20.45,5948
"Rosbach v. d. Höhe, Stadt",61191,45.33,6100
"Twistringen, Stadt",27239,114.37,6193
"Schongau, St",86956,21.34,6127
"Neuenburg am Rhein, Stadt",79395,44.1,6072
"Gladenbach, Stadt",35075,72.28,6065
"Besigheim, Stadt",74354,16.83,6068
"Bad Wünnenberg, Stadt",33181,161.3,6071
"Eisenberg, Stadt",7607,24.67,6203
"Gaildorf, Stadt",74405,62.59,6004
"Sulz am Neckar, Stadt",72172,87.62,6040
"Wolgast, Stadt",17438,61.75,5968
"Weinsberg, Stadt",74189,22.22,6119
"Beelitz, Stadt",14547,181.29,6106
"Burladingen, Stadt",72393,123.31,5967
"Steinheim an der Murr, Stadt",71711,23.18,6015
"Titisee-Neustadt, Stadt",79822,89.64,6001
"Zwönitz, Stadt",8297,64.24,5885
"Bad Doberan, Stadt",18209,32.85,5814
"Hessisch Lichtenau, Stadt",37235,105.87,6077
"Pößneck, Stadt",7381,24.43,5847
"Ebersberg, St",85560,40.84,5969
"Blaubeuren, Stadt",89143,79.13,6095
"Coswig (Anhalt), Stadt",6869,295.75,6127
"Hemsbach, Stadt",69502,12.85,5960
"Monschau, Stadt",52156,94.6,6068
"Pritzwalk, Stadt",16928,167.47,5953
"Neuenrade, Stadt",58809,54.1,5981
"Röthenbach a.d.Pegnitz, St",90552,14.29,5754
"Gräfenhainichen, Stadt",6773,158.94,5812
"Bad Dürrenberg, Stadt",6231,36.15,5835
"Drolshagen, Stadt",57489,67.11,5963
"Velten, Stadt",16727,23.36,5799
"Bopfingen, Stadt",73441,76.94,5825
"Oestrich-Winkel, Stadt",65375,59.53,5740
"Geisenheim, Hochschulstadt",65366,40.35,5741
"Hagenow, Stadt",19230,67.54,5768
"Vilsbiburg, St",84137,68.84,5872
"Roding, St",93426,113.7,5832
"Erkner, Stadt",15537,16.53,5551
"Langelsheim, Stadt",38685,48.81,5817
"Osterhofen, St",94486,111.17,5825
"Hildburghausen, Stadt",98646,72.9,5765
"Hauzenberg, St",94051,82.79,5783
"Dinkelsbühl, GKSt",91550,75.16,5709
"Billerbeck, Stadt",48727,91.37,5805
"Wittingen, Stadt",29378,225.83,5848
"Lichtenstein/Sa., Stadt",9350,15.47,5557
"Walldürn, Stadt",74731,105.91,5880
"Ladenburg, Stadt",68526,19,5645
"Balve, Stadt",58802,74.81,5715
"Lindenberg i.Allgäu, St",88161,11.84,5648
"Lauenburg/ Elbe, Stadt",21481,9.55,5757
"Wolmirstedt, Stadt",39326,54.29,5585
"Miesbach, St",83714,32.44,5541
"Bad Fallingbostel, Stadt",29683,63.7,5640
"Schöningen, Stadt",38364,35.47,5618
"Ochsenfurt, St",97199,63.57,5678
"Werther (Westf.), Stadt",33824,35.42,5688
"Laichingen, Stadt",89150,69.83,5776
"Stollberg/Erzgeb., Stadt",9366,38.99,5465
"Rheinau, Stadt",77866,73.5,5653
"Trostberg, St",83308,51.55,5504
"Schwaigern, Stadt",74193,49.49,5707
"Osterwieck, Stadt",38835,212.87,5669
"Lauffen am Neckar, Stadt",74348,22.63,5498
"Glückstadt, Stadt",25348,22.75,5448
"Schmölln, Stadt",4626,41.61,5492
"Bischofswerda, Stadt",1877,46.21,5341
"Mülheim-Kärlich, Stadt",56218,16.42,5495
"Oelsnitz/Erzgeb., Stadt",9376,26.28,5400
"Geisenfeld, St",85290,88.3,5886
"Marktheidenfeld, St",97828,35.7,5380
"Maxhütte-Haidhof, St",93142,34.69,5588
"Bad Belzig, Stadt",14806,236.06,5474
"Hammelburg, St",97762,128.88,5488
"Rothenburg ob der Tauber, GKSt",91541,41.67,5389
"Braunsbedra, Stadt",6242,74.3,5644
"Demmin, Hansestadt",17109,82.06,5281
"Welzheim, Stadt",73642,37.99,5408
"Diez, Stadt",65582,12.41,5695
"Rüthen, Stadt",59602,158.15,5691
"Braunfels, Stadt",35619,47.29,5334
"Gengenbach, Stadt",77723,61.9,5255
"Querfurt, Stadt",6268,155.42,5319
"Flöha, Stadt",9557,27.76,5242
"Donzdorf, Stadt",73072,39.82,5469
"Tangerhütte, Stadt",39517,294.83,5413
"Regen, St",94209,65.14,5423
"Lauingen (Donau), St",89415,44.39,5367
"Gronau (Leine), Stadt",31028,88.39,5294
"Bad Schwalbach, Kreisstadt",65307,40.27,5410
"Bad Nenndorf, Stadt",31542,23.22,5130
"Lorch, Stadt",73547,34.28,5442
"Meßstetten, Stadt",72469,76.8,5602
"Herbolzheim, Stadt",79336,35.48,5415
"Nossen, Stadt",1683,122.74,5395
"Burgstädt, Stadt",9217,25.87,5249
"Oberharz am Brocken, Stadt",38875,271.52,5229
"Rutesheim, Stadt",71277,16.22,5305
"Engen, Stadt",78234,70.56,5256
"Isselburg, Stadt",46419,42.8,5360
"Lichtenau, Stadt",33165,192.57,5487
"Bad Iburg, Stadt",49186,36.5,5133
"Felsberg, Stadt",34587,83.28,5230
"Zella-Mehlis, Stadt",98544,28.07,5169
"Bad Lauterberg im Harz, Stadt",37431,41.56,5058
"Haigerloch, Stadt",72401,76.44,5263
"Gommern, Stadt",39245,159.98,5138
"Steinbach (Taunus), Stadt",61449,4.4,5090
"Boizenburg/ Elbe, Stadt",19258,47.43,5218
"Langenzenn, St",90579,46.33,5079
"Tangermünde, Stadt",39590,89.87,5056
"Riedlingen, Stadt",88499,64.95,5232
"Grevesmühlen, Stadt",23936,52.38,5092
"Oelsnitz/Vogtl., Stadt",8606,53.67,5095
"Altensteig, Stadt",72213,53.19,5220
"Pasewalk, Stadt",17309,55.21,4917
"Waldkirchen, St",94065,80.01,5123
"Steinau an der Straße, Brüder-Grimm-Stadt",36396,104.87,5124
"Bad Staffelstein, St",96231,99.51,5081
"Barmstedt, Stadt",25355,17.17,5034
"Münchberg, St",95213,68.78,4915
"Weilheim an der Teck, Stadt",73235,26.51,5142
"Meuselwitz, Stadt",4610,53.66,4943
"Büdelsdorf, Stadt",24782,6.48,4942
"Lollar, Stadt",35457,21.41,5080
"Rehburg-Loccum, Stadt",31547,99.97,5167
"Friedrichsthal, Stadt",66299,8.99,4996
"Gemünden a.Main, St",97737,75.06,5068
"Klötze, Stadt",38486,278.29,5019
"Gernsheim, Schöfferstadt",64579,40.11,5030
"Erlenbach a.Main, St",63906,16.31,5034
"Aulendorf, Stadt",88326,52.34,5090
"Aichtal, Stadt",72631,23.6,5180
"Süßen, Stadt",73079,12.79,5074
"Frohburg, Stadt",4654,108.51,4983
"Betzdorf, Stadt",57518,9.56,4941
"Schotten, Stadt",63679,133.56,5176
"Wildau, Stadt",15745,9.1,4923
"Blumberg, Stadt",78176,98.72,5042
"Wilkau-Haßlau, Stadt",8112,12.65,4729
"Osterburg (Altmark), Hansestadt",39606,229.76,4850
"Kenzingen, Stadt",79341,36.93,4987
"Niebüll, Stadt",25899,30.63,4804
"Wildberg, Stadt",72218,56.68,4987
"Neuenhaus, Stadt",49828,31.37,4974
"Bogen, St",94327,49.74,4969
"Wettin-Löbejün, Stadt",6193,127.11,4895
"Kemberg, Stadt",6901,235.21,4909
