Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Neubrandenburg, Stadt",17033,86.11,30942
"Grevenbroich, Stadt",41515,102.41,30558
Rosenheim,83022,37.22,30760
"Herten, Stadt",45699,37.33,30039
"Garbsen, Stadt",30827,79.49,29685
"Wesel, Stadt",46483,122.56,29550
"Schwäbisch Gmünd, Stadt",73525,113.78,29478
"Bergheim, Stadt",50126,96.34,29634
"Friedrichshafen, Stadt",88045,69.93,29586
"Hürth, Stadt",50354,51.22,28985
"Stralsund, Hansestadt",18439,54.14,29076
"Offenburg, Stadt",77652,78.37,28811
"Langenfeld (Rheinland), Stadt",40764,41.15,28461
"Frankfurt (Oder), Stadt",15230,147.85,28116
"Greifswald, Hansestadt",17489,50.81,27932
"Euskirchen, Stadt",53879,139.49,28074
"Neu-Ulm, GKSt",89231,80.95,28080
"Göppingen, Stadt",73033,59.21,28140
"Unna, Stadt4)",59423,88.56,/
"Hameln, Stadt",31785,102.53,27063
"Stolberg (Rhld.), Kupferstadt",52222,98.48,27937
"Sankt Augustin, Stadt",53757,34.22,27428
"Eschweiler, Stadt",52249,75.75,27331
"Görlitz, Stadt",2826,67.52,26915
"Hilden, Stadt",40721,25.95,26782
"Meerbusch, Stadt",40667,64.39,26219
"Waiblingen, Stadt",71332,42.75,26866
"Hattingen, Stadt",45525,71.66,26581
"Baden-Baden, Stadt",76530,140.19,25920
"Lingen (Ems), Stadt",49808,176.19,26677
"Pulheim, Stadt",50259,72.15,25981
"Bad Salzuflen, Stadt",32105,100.05,25803
"Bad Homburg v. d. Höhe, Stadt",61348,51.16,25444
"Langenhagen, Stadt",30853,71.97,26236
"Menden (Sauerland), Stadt",58706,86.1,26180
"Nordhorn, Stadt",48529,149.87,26280
"Neustadt an der Weinstraße, Stadt",67433,117.09,25873
"Ahlen, Stadt",59227,123.13,25899
Schweinfurt,97421,35.7,25637
"Wetzlar, Stadt",35578,75.67,25250
"Wolfenbüttel, Stadt",38300,78.74,25858
"Frechen, Stadt",50226,45.06,25422
"Goslar, Stadt",38640,163.88,25061
"Ibbenbüren, Stadt",49477,108.87,25320
Passau,94032,69.56,24380
"Kleve, Stadt",47533,97.76,25249
"Willich, Stadt",47877,67.8,24904
"Speyer, Stadt",67346,42.71,24413
"Emden, Stadt",26721,112.34,25205
"Gummersbach, Stadt",51643,95.42,24849
"Ravensburg, Stadt",88212,92.05,24683
"Bad Kreuznach, Stadt",55545,55.56,23729
"Peine, Stadt",31224,119.84,24507
"Böblingen, Stadt",71032,39.04,24416
"Erftstadt, Stadt",50374,119.89,24033
"Elmshorn, Stadt",25335,21.37,24084
"Lörrach, Stadt",79539,39.37,23676
"Bad Oeynhausen, Stadt",32545,64.83,23855
"Heidenheim an der Brenz, Stadt",89522,107.09,24145
"Cuxhaven, Stadt",27472,161.92,23048
