Stadt,"Post-leitzahl 1)","Fläche in km2 2)",insgesamt,männlich,weiblich,"je km2"
"Wittichenau, Stadt",02997,61.02,5770,2811,2959,95
"Wolfach, Stadt",77709,67.97,5762,2883,2879,85
"Stadtoldendorf, Stadt",37627,24.92,5760,2830,2930,231
"Waibstadt, Stadt",74915,25.57,5719,2804,2915,224
"Westerburg, Stadt",56457,18.48,5717,2755,2962,309
"Schwarzheide, Stadt",01987,33.44,5711,2825,2886,171
"Dierdorf, Stadt",56269,31.98,5691,2827,2864,178
"Traben-Trarbach, Stadt",56841,31.35,5687,2821,2866,181
"Grabow, Stadt",19300,72.27,5684,2811,2873,79
"Großschirma, Stadt",09603,61.63,5678,2843,2835,92
"Biesenthal, Stadt",16359,60.92,5671,2807,2864,93
"Mellrichstadt, St",97638,55.99,5667,2824,2843,101
"Stolpen, Stadt",01833,60.89,5666,2833,2833,93
"Bad Gottleuba-Berggießhübel, Stadt",01816,88.72,5660,2823,2837,64
"Schrozberg, Stadt",74575,105.21,5654,2909,2745,54
"Eisfeld, Stadt",98673,52.68,5636,2841,2795,107
"Drebkau, Stadt",03116,143.91,5610,2844,2766,39
"Ruhla, Stadt",99842,38.55,5605,2758,2847,145
"Münzenberg, Stadt",35516,31.63,5604,2763,2841,177
"Zeil a.Main, St",97475,35.72,5594,2756,2838,157
"Ellrich, Stadt",99755,69.43,5583,2770,2813,80
"Leutershausen, St",91578,84.07,5578,2789,2789,66
"Schöppenstedt, Stadt",38170,39.73,5561,2742,2819,140
"Abenberg, St",91183,48.41,5554,2709,2845,115
"Gersfeld (Rhön), Stadt",36129,89.37,5550,2758,2792,62
"Bodenwerder, Münchhausenstadt",37619,29.05,5547,2692,2855,191
"Neubulach, Stadt",75387,24.69,5536,2753,2783,224
"Artern/Unstrut, Stadt",06556,24.19,5533,2703,2830,229
"Ohrdruf, Stadt",99885,39.78,5520,2778,2742,139
"Laage, Stadt",18299,81.6,5511,2741,2770,68
"Harburg (Schwaben), St",86655,73.16,5508,2768,2740,75
"Gadebusch, Stadt",19205,47.76,5507,2698,2809,115
"Ingelfingen, Stadt",74653,46.48,5479,2708,2771,118
"Hagenbach, Stadt",76767,15.86,5475,2706,2769,345
"Seelow, Stadt",15306,42.73,5451,2636,2815,128
"Dornburg-Camburg, Stadt",07774,30.77,5450,2665,2785,177
"Pfreimd, St",92536,51.45,5448,2741,2707,106
