Stadt,"Post-leitzahl 1)","Fläche in km2 2)",insgesamt,männlich,weiblich,"je km2"
"Freren, Stadt",49832,48.97,5033,2557,2476,103
"Wilthen, Stadt",02681,17.04,5032,2415,2617,295
"Forchtenberg, Stadt",74670,38.09,5022,2557,2465,132
"Windischeschenbach, St",92670,36.37,5020,2512,2508,138
"Ronneburg, Stadt",07580,19.13,5015,2425,2590,262
"Monheim, St",86653,69.33,5006,2567,2439,72
"Lommatzsch, Stadt",01623,66.63,5000,2437,2563,75
"Dahme/Mark, Stadt",15936,162.59,4994,2482,2512,31
"Adelsheim, Stadt",74740,43.84,4990,2654,2336,114
"Roßleben, Stadt",06571,33.57,4984,2434,2550,148
"Tönning, Stadt",25832,44.41,4976,2472,2504,112
"Seehausen (Altmark), Hansestadt",39615,107,4968,2430,2538,46
"Steinbach-Hallenberg, Kurort, Stadt",98587,22.64,4965,2396,2569,219
"Kitzscher, Stadt",04567,29.04,4964,2432,2532,171
"Mahlberg, Stadt",77972,16.59,4964,2490,2474,299
"Schwaan, Stadt",18258,38.28,4959,2447,2512,130
"Spalt, St",91174,55.67,4947,2481,2466,89
"Oberviechtach, St",92526,62.42,4931,2451,2480,79
"Hitzacker (Elbe), Stadt",29456,58.67,4921,2356,2565,84
"Lichtenau, Stadt",77839,27.61,4917,2458,2459,178
"Todtnau, Stadt",79674,69.75,4912,2431,2481,70
"Creußen, St",95473,60.47,4902,2432,2470,81
"Strasburg (Uckermark), Stadt",17335,87.47,4890,2391,2499,56
"Crivitz, Stadt",19089,75.87,4880,2335,2545,64
"Niederstetten, Stadt",97996,104.05,4820,2447,2373,46
"Weismain, St",96260,90.14,4816,2435,2381,53
"Herbstein, Stadt",36358,79.98,4815,2468,2347,60
"Heringen/Helme, Stadt",99765,66.91,4812,2423,2389,72
"Eggesin, Stadt",17367,88.23,4800,2348,2452,54
"Emmelshausen, Stadt",56281,7.9,4783,2308,2475,605
"Lübtheen, Stadt",19249,120.17,4780,2539,2241,40
"Kröpelin, Stadt",18236,67.54,4773,2361,2412,71
"Triberg im Schwarzwald, Stadt",78098,33.33,4764,2380,2384,143
"Bad Sulza, Stadt",99518,45.49,4762,2312,2450,105
"Ehrenfriedersdorf, Stadt",09427,15.89,4762,2300,2462,300
"Geisa, Stadt",36419,71.94,4745,2383,2362,66
"Wörth a.d.Donau, St",93086,52.25,4743,2433,2310,91
"Freyburg (Unstrut), Stadt",06632,46.55,4738,2304,2434,102
"Oppenau, Stadt",77728,72.98,4729,2382,2347,65
"Stadtilm, Stadt",99326,17.34,4719,2317,2402,272
"Bischofsheim a.d.Rhön, St",97653,67.7,4707,2314,2393,70
"Wachenheim an der Weinstraße, Stadt",67157,24.97,4706,2313,2393,189
"Lauchheim, Stadt",73466,40.86,4700,2386,2314,115
"Creglingen, Stadt",97993,117.23,4697,2370,2327,40
"Rothenburg/O.L., Stadt",02929,72.4,4673,2326,2347,65
"Groß-Bieberau, Stadt",64401,18.27,4667,2327,2340,255
"Wörth a.Main, St",63939,15.88,4652,2290,2362,293
"Schömberg, Stadt",72355,23.25,4651,2374,2277,200
"Hartenstein, Stadt",08118,36.7,4651,2247,2404,127
"Heideck, St",91180,58.64,4632,2356,2276,79
"Niederstotzingen, Stadt",89168,29.81,4631,2311,2320,155
"Dahn, Stadt",66994,40.76,4616,2248,2368,113
"Scheinfeld, St",91443,45.12,4613,2273,2340,102
"Iphofen, St",97346,78.06,4595,2266,2329,59
"Nassau, Stadt",56377,17.55,4586,2282,2304,261
"Müllrose, Stadt",15299,69.24,4571,2209,2362,66
"Krautheim, Stadt",74238,52.9,4563,2377,2186,86
"Augustusburg, Stadt",09573,23.38,4556,2263,2293,195
"Marlow, Stadt",18337,140.52,4553,2354,2199,32
"Tengen, Stadt",78250,62.04,4524,2234,2290,73
"Schwarzenbach a.Wald, St",95131,36.7,4505,2196,2309,123
"Hallenberg, Stadt",59969,65.35,4474,2280,2194,68
"Tann (Rhön), Stadt",36142,60.45,4445,2234,2211,74
"Schönau, Stadt",69250,22.49,4444,2223,2221,198
"Dargun, Stadt",17159,118.01,4432,2182,2250,38
"Gefrees, St",95482,50.32,4426,2146,2280,88
"Wilster, Stadt",25554,2.71,4420,2173,2247,1631
"Königsbrück, Stadt",01936,78.48,4416,2184,2232,56
"Rabenau, Stadt",01734,30.73,4406,2208,2198,143
"Kirchberg an der Jagst, Stadt",74592,40.93,4403,2362,2041,108
"Peitz, Stadt",03185,13.49,4400,2185,2215,326
"Schönberg, Stadt",23923,38.21,4398,2156,2242,115
"Lunzenau, Stadt",09328,28.33,4384,2150,2234,155
"Rauschenberg, Stadt",35282,67.33,4382,2145,2237,65
"Selbitz, St",95152,27.74,4375,2068,2307,158
"Woldegk, Stadt",17348,156.29,4360,2211,2149,28
"Waldkappel, Stadt",37284,96.48,4359,2193,2166,45
"Heimbach, Stadt",52396,64.96,4352,2209,2143,67
"Rennerod, Stadt",56477,18.14,4339,2213,2126,239
"Putbus, Stadt",18581,66.68,4334,2132,2202,65
"Loitz, Stadt",17121,89.9,4334,2117,2217,48
"Dahlen, Stadt",04774,71.87,4332,2132,2200,60
"Vellberg, Stadt",74541,31.89,4332,2159,2173,136
"Dransfeld, Stadt",37127,28.91,4327,2112,2215,150
"Bad Berneck i.Fichtelgebirge, St",95460,33.56,4326,2142,2184,129
"Dingelstädt, Stadt",37351,20.45,4324,2181,2143,211
"Pressath, St",92690,66.34,4316,2110,2206,65
"Gerabronn, Stadt",74582,40.38,4301,2159,2142,107
"Liebenwalde, Stadt",16559,142.17,4277,2166,2111,30
"Waldershof, St",95679,60.37,4264,2128,2136,71
"Geringswalde, Stadt",09326,30.06,4263,2096,2167,142
"Berka/Werra, Stadt",99837,57.09,4253,2146,2107,74
"Sternberg, Stadt",19406,67.7,4252,2024,2228,63
"Hornberg, Stadt",78132,54.45,4245,2123,2122,78
"Tambach-Dietharz/Thür. Wald, Stadt",99897,41.63,4243,2126,2117,102
"Penzlin, Stadt",17217,115.56,4212,2104,2108,36
"Güsten, Stadt",39439,36.16,4187,2061,2126,116
"Schnaittenbach, St",92253,63.41,4184,2112,2072,66
"Lichtenfels, Stadt",35104,96.73,4180,2152,2028,43
"Wyk auf Föhr, Stadt",25938,8,4159,1903,2256,520
"Wanfried, Stadt",37281,46.9,4151,2062,2089,89
"Allendorf (Lumda), Stadt",35469,22.01,4141,2099,2042,188
"Nastätten, Stadt",56355,13.05,4129,2008,2121,316
"Baruth/Mark, Stadt",15837,233.84,4121,2104,2017,18
"Elsterberg, Stadt",07985,25.1,4119,2007,2112,164
"Johanngeorgenstadt, Stadt",08349,29.58,4115,2008,2107,139
"Zell (Mosel), Stadt",56856,44.95,4106,2072,2034,91
"Bad Buchau, Stadt",88422,23.75,4093,2035,2058,172
"Dassow, Stadt",23942,66.98,4076,2071,2005,61
"Niedernhall, Stadt",74676,17.71,4068,2070,1998,230
"Neckarbischofsheim, Stadt",74924,26.4,4066,2032,2034,154
"Waldenburg, Stadt",08396,25.06,4060,2001,2059,162
"Rheinböllen, Stadt",55494,16.36,4058,2005,2053,248
"Pappenheim, St",91788,64.32,4057,2027,2030,63
"Gemünden (Wohra), Stadt",35285,58.67,4056,2075,1981,69
"Baunach, St",96148,32.14,4051,2084,1967,126
"St. Blasien, Stadt",79837,54.41,4037,1967,2070,74
"Gräfenberg, St",91322,37.83,4013,2038,1975,106
"Baumholder, Stadt",55774,69.19,4004,1910,2094,58
"Brück, Stadt",14822,86.19,3999,2084,1915,46
"Netzschkau, Stadt",08491,12.51,3989,1928,2061,319
"Amorbach, St",63916,50.9,3987,1949,2038,78
"Eschenbach i.d.OPf., St",92676,35.13,3986,1915,2071,113
"Lorch, Stadt",65391,54.53,3986,2037,1949,73
"Mirow, Stadt",17252,158.3,3978,1924,2054,25
"Lambrecht (Pfalz), Stadt",67466,8.32,3960,1919,2041,476
"Seßlach, St",96145,72.53,3939,2004,1935,54
"Steinach, Stadt",96523,26.35,3899,1892,2007,148
"Kirchberg (Hunsrück), Stadt",55481,18.05,3895,1921,1974,216
"Wolkenstein, Stadt",09429,30.51,3894,1912,1982,128
"Regis-Breitingen, Stadt",04565,26.37,3883,1978,1905,147
"Neukloster, Stadt",23992,27.51,3881,1955,1926,141
"Hoya, Stadt",27318,8.42,3880,1907,1973,461
"Neubukow, Stadt",18233,25.12,3878,1923,1955,154
"Neckarsteinach, Stadt",69239,17.23,3872,1943,1929,225
"Tessin, Stadt",18195,24.51,3855,1874,1981,157
"Trebsen/Mulde, Stadt",04687,35.03,3851,1910,1941,110
"Bad Karlshafen, Stadt",34385,14.85,3823,1939,1884,257
"Vöhrenbach, Stadt",78147,70.47,3820,1944,1876,54
"Schiltach, Stadt",77761,34.21,3818,1875,1943,112
"Mühlberg/Elbe, Stadt",04931,89.2,3813,1908,1905,43
"Deidesheim, Stadt",67146,26.54,3797,1829,1968,143
"Lucka, Stadt",04613,12.93,3790,1822,1968,293
"Gehren, Stadt",98708,43.79,3782,1905,1877,86
"Freudenberg, Stadt",97896,34.76,3782,1901,1881,109
"Marktbreit, St",97340,20.16,3757,1946,1811,186
"Strehla, Stadt",01616,30.28,3748,1835,1913,124
"Seifhennersdorf, Stadt",02782,19.12,3747,1837,1910,196
"Bad Elster, Stadt",08645,19.77,3723,1784,1939,188
"Triptis, Stadt",07819,33.15,3721,1820,1901,112
"Ellingen, St",91792,31.25,3713,1865,1848,119
"Ruhland, Stadt",01945,37.22,3693,1803,1890,99
"Tegernsee, St",83684,22.77,3692,1732,1960,162
"Bad Schandau, Stadt",01814,46.76,3682,1812,1870,79
"Grünsfeld, Stadt",97947,44.72,3678,1860,1818,82
"Schlotheim, Stadt",99994,22.4,3660,1781,1879,163
"Wildenfels, Stadt",08134,20.69,3657,1833,1824,177
"Königsberg i.Bay., St",97486,61.88,3653,1830,1823,59
"Tanna, Stadt",07922,87.35,3640,1804,1836,42
"Greußen, Stadt",99718,19.21,3618,1786,1832,188
"Bad Muskau, Stadt",02953,15.38,3612,1748,1864,235
"Auma-Weidatal, Stadt",07955,55.91,3606,1801,1805,64
"Bad Köstritz, Stadt",07586,16.93,3593,1717,1876,212
"Goldberg, Stadt",19399,64.72,3591,1745,1846,55
"Gröningen, Stadt",39397,59.68,3583,1786,1797,60
"Mühlheim an der Donau, Stadt",78570,21.74,3582,1788,1794,165
"Geyer, Stadt",09468,18.56,3554,1727,1827,191
"Welzow, Stadt",03119,39.57,3552,1749,1803,90
"Langewiesen, Stadt",98704,27.51,3544,1772,1772,129
"Münstermaifeld, Stadt",56294,27.77,3543,1751,1792,128
"Krakow am See, Stadt",18292,87.37,3501,1752,1749,40
"Rehna, Stadt",19217,44.59,3492,1737,1755,78
"Goldkronach, St",95497,23.24,3492,1714,1778,150
"Saalburg-Ebersdorf, Stadt",07929,72.05,3484,1719,1765,48
"Eschershausen, Stadt",37632,23.92,3469,1747,1722,145
"Weißensee, Stadt",99631,46.71,3462,1701,1761,74
"Hirschhorn (Neckar), Stadt",69434,30.86,3462,1719,1743,112
"Joachimsthal, Stadt",16247,121.73,3446,1743,1703,28
"Gößnitz, Stadt",04639,14.07,3444,1671,1773,245
"Rötz, St",92444,66.68,3438,1759,1679,52
"Ludwigsstadt, St",96337,58.75,3427,1700,1727,58
"Kelbra (Kyffhäuser), Stadt",06537,40.55,3424,1703,1721,84
"Neustadt (Dosse), Stadt",16845,75.87,3406,1663,1743,45
"Owen, Stadt",73277,9.7,3406,1712,1694,351
"Neusalza-Spremberg, Stadt",02742,22.91,3405,1673,1732,149
"Speicher, Stadt",54662,15.36,3396,1684,1712,221
"Bernstadt a. d. Eigen, Stadt",02748,52,3390,1688,1702,65
"Wasungen, Stadt",98634,29.51,3382,1701,1681,115
"Lauscha, Stadt",98724,18.72,3380,1663,1717,181
"Kranichfeld, Stadt",99448,23.1,3374,1675,1699,146
"Kaltennordheim, Stadt",36452,40.47,3363,1703,1660,83
"Berga/Elster, Stadt",07980,43.52,3359,1664,1695,77
"Ostheim v.d.Rhön, St",97645,40.85,3352,1679,1673,82
"Hohnstein, Stadt",01848,64.64,3335,1671,1664,52
"Egeln, Stadt",39435,29.14,3331,1640,1691,114
"Ulmen, Stadt",56766,28.74,3330,1654,1676,116
"Kirchenlamitz, St",95158,48.48,3294,1618,1676,68
"Döbern, Stadt",03159,15.79,3291,1574,1717,208
"Wesselburen, Stadt",25764,5.14,3287,1583,1704,639
"Oberriexingen, Stadt",71739,8.16,3286,1661,1625,403
"Löwenstein, Stadt",74245,23.46,3283,1656,1627,140
"Stromberg, Stadt",55442,9.01,3283,1585,1698,364
"Sonnewalde, Stadt",03249,119.29,3261,1667,1594,27
"Nebra (Unstrut), Stadt",06642,25.42,3249,1593,1656,128
"Havelsee, Stadt",14798,81.97,3244,1635,1609,40
"Warin, Stadt",19417,44.45,3244,1585,1659,73
"Lychen, Stadt",17279,111.99,3222,1561,1661,29
"Wurzbach, Stadt",07343,72.32,3215,1604,1611,44
"Kirtorf, Stadt",36320,79.91,3213,1623,1590,40
"Burgbernheim, St",91593,42.3,3198,1581,1617,76
"Schöneck/Vogtl., Stadt",08261,55.06,3198,1551,1647,58
"Schönwald, St",95173,19.19,3195,1542,1653,166
"Bärnau, St",95671,74.41,3179,1648,1531,43
"Kaisersesch, Stadt",56759,8.18,3168,1543,1625,387
"Hillesheim, Stadt",54576,20.66,3158,1557,1601,153
"Weißenberg, Stadt",02627,50.96,3153,1626,1527,62
"Weißenstadt, St",95163,42.23,3151,1538,1613,75
"Lebus, Stadt",15326,54.29,3145,1583,1562,58
"Stadtsteinach, St",95346,39.79,3139,1530,1609,79
"Fridingen an der Donau, Stadt",78567,22.47,3137,1565,1572,140
"Liebenau, Stadt",34396,48.87,3126,1511,1615,64
"Klütz, Stadt",23948,44.41,3116,1497,1619,70
"Marktleuthen, St",95168,35.48,3111,1525,1586,88
"Bad Teinach-Zavelstein, Stadt",75385,25.17,3103,1606,1497,123
"Prichsenstadt, St",97357,48.87,3088,1587,1501,63
"Schönewalde, Stadt",04916,156.18,3085,1609,1476,20
"Bürgel, Stadt",07616,27.19,3079,1532,1547,113
"Waischenfeld, St",91344,57.19,3069,1583,1486,54
"Hatzfeld (Eder), Stadt",35116,58.51,3061,1566,1495,52
"Wolframs-Eschenbach, St",91639,25.47,3060,1525,1535,120
"Dömitz, Stadt",19303,60.57,3046,1492,1554,50
"Gützkow, Stadt",17506,57.65,3042,1528,1514,53
"Wesenberg, Stadt",17255,89.64,3040,1508,1532,34
"Eibelstadt, St",97246,7.07,3035,1455,1580,429
"Braubach, Stadt",56338,19.5,3034,1522,1512,156
"Waldenburg, Stadt",74638,31.55,3030,1552,1478,96
"Lindow (Mark), Stadt",16835,65.47,3028,1552,1476,46
"Ulrichstein, Stadt",35327,65.61,3002,1525,1477,46
"Jarmen, Stadt",17126,30.71,2981,1498,1483,97
"Friedland, Stadt",15848,174.23,2975,1512,1463,17
"Münchenbernsdorf, Stadt",07589,15.45,2967,1441,1526,192
"Schalkau, Stadt",96528,33.57,2939,1469,1470,88
"Merkendorf, St",91732,26.07,2938,1489,1449,113
"Frankenau, Stadt",35110,57.29,2930,1474,1456,51
"Adenau, Stadt",53518,18.56,2925,1430,1495,158
"Rhens, Stadt",56321,16.31,2917,1426,1491,179
"Gnoien, Stadt",17179,41.11,2911,1432,1479,71
"Laucha an der Unstrut, Stadt",06636,31.14,2909,1471,1438,93
"Remda-Teichel, Stadt",07407,79.76,2902,1483,1419,36
"Elterlein, Stadt",09481,45.74,2900,1449,1451,63
"Themar, Stadt",98660,20.18,2899,1415,1484,144
"Frauenstein, Stadt",09623,59,2884,1466,1418,49
"Meisenheim, Stadt",55590,10.33,2858,1399,1459,277
"Wustrow (Wendland), Stadt",29462,30.19,2856,1426,1430,95
"Oberwesel, Stadt",55430,18.08,2843,1374,1469,157
"Ravenstein, Stadt",74747,55.97,2821,1452,1369,50
"Elstra, Stadt",01920,32.63,2807,1410,1397,86
"Schillingsfürst, St",91583,27.5,2800,1389,1411,102
"Bad Bibra, Stadt",06647,49.77,2797,1407,1390,56
"Selters (Westerwald), Stadt",56242,8.7,2792,1385,1407,321
"Jöhstadt, Stadt",09477,49.7,2756,1413,1343,55
"Wallenfels, St",96346,45.65,2747,1374,1373,60
"Sankt Goar, Stadt",56329,23.17,2743,1375,1368,118
"Putlitz, Stadt",16949,119.68,2736,1418,1318,23
"Romrod, Stadt",36329,54.43,2729,1349,1380,50
"Sulzburg, Stadt",79295,22.74,2701,1309,1392,119
"Tribsees, Stadt",18465,54.98,2636,1287,1349,48
"Garding, Stadt",25836,3.06,2627,1252,1375,858
"Ebeleben, Stadt",99713,40.74,2623,1323,1300,64
"Großbreitenbach, Stadt",98701,19.6,2615,1344,1271,133
"Wegeleben, Stadt",38828,51.78,2595,1319,1276,50
"Schkölen, Stadt",07619,53.43,2590,1322,1268,48
"Kohren-Sahlis, Stadt",04655,36.8,2589,1303,1286,70
"Alsleben (Saale), Stadt",06425,23.64,2586,1237,1349,109
"Bad Wilsnack, Stadt",19336,79.62,2577,1235,1342,32
"Golßen, Stadt",15938,63.68,2575,1279,1296,40
"Lauterstein, Stadt",73111,23.31,2571,1261,1310,110
"Brüel, Stadt",19412,27.21,2566,1265,1301,94
"Friesack, Stadt",14662,84.01,2560,1299,1261,30
"Friedrichstadt, Stadt",25840,4.03,2523,1190,1333,626
"Schwanebeck, Stadt",39397,32.66,2516,1233,1283,77
"Gartz (Oder), Stadt",16307,61.89,2515,1227,1288,41
"Bad Tennstedt, Stadt",99955,27.42,2505,1231,1274,91
"Dommitzsch, Stadt",04880,30.44,2503,1237,1266,82
"Scheer, Stadt",72516,18.72,2496,1276,1220,133
"Gefell, Stadt",07926,45.22,2491,1226,1265,55
"Betzenstein, St",91282,51.84,2485,1246,1239,48
"Buttstädt, Stadt",99628,18.36,2481,1235,1246,135
"Osterfeld, Stadt",06721,27.61,2481,1280,1201,90
"Rastenberg, Stadt",99636,35.52,2478,1247,1231,70
"Schönau im Schwarzwald, Stadt",79677,14.72,2448,1223,1225,166
"Schönsee, St",92539,50.28,2446,1223,1223,49
"Ziesar, Stadt",14793,67.95,2444,1196,1248,36
"Pleystein, St",92714,42.4,2427,1207,1220,57
"Schlieben, Stadt",04936,78.65,2422,1199,1223,31
"Stadtlengsfeld, Stadt",36457,27.7,2415,1229,1186,87
"Großenehrich, Stadt",99718,63.34,2406,1214,1192,38
"Eckartsberga, Stadt",06648,35.97,2402,1225,1177,67
"Grebenau, Stadt",36323,55.37,2401,1229,1172,43
"Schlettau, Stadt",09487,21.22,2397,1155,1242,113
"Krempe, Stadt",25361,3.39,2377,1166,1211,701
"Ostritz, Stadt",02899,23.48,2365,1160,1205,101
"Creuzburg, Stadt",99831,35.4,2359,1164,1195,67
"Rethem (Aller), Stadt",27336,34.03,2324,1144,1180,68
"Fladungen, St",97650,46.34,2316,1179,1137,50
"Aach, Stadt",78267,10.68,2270,1168,1102,213
"Heldrungen, Stadt",06577,23.27,2266,1110,1156,97
"Katzenelnbogen, Stadt",56368,9.18,2235,1077,1158,244
"Garz/Rügen, Stadt",18574,65.89,2220,1118,1102,34
"Rosenthal, Stadt",35119,51.54,2215,1112,1103,43
"Hayingen, Stadt",72534,63.36,2209,1133,1076,35
"Hirschberg, Stadt",07927,24.13,2186,1084,1102,91
"Oderberg, Stadt",16248,36.12,2185,1108,1077,60
"Lenzen (Elbe), Stadt",19309,96.19,2160,1049,1111,22
"Mainbernheim, St",97350,12.21,2157,1086,1071,177
"Oberwiesenthal, Kurort, Stadt",09484,40.02,2156,1049,1107,54
"Leutenberg, Stadt",07338,57.52,2149,1060,1089,37
"Ortrand, Stadt",01990,7.36,2144,1029,1115,291
"Rerik, Stadt",18230,34.22,2136,1012,1124,62
"Gebesee, Stadt",99189,24.08,2135,1064,1071,89
"Königstein/Sächs. Schw., Stadt",01824,27.05,2128,1075,1053,79
"Veringenstadt, Stadt",72519,31.25,2127,1071,1056,68
"Meyenburg, Stadt",16945,50.74,2126,1068,1058,42
"Scheibenberg, Stadt",09481,9,2126,1062,1064,236
"Lauterecken, Stadt",67742,8.89,2097,1015,1082,236
"Wiesensteig, Stadt",73349,23.41,2066,1057,1009,88
"Bad Colberg-Heldburg, Stadt",98663,53.39,2059,1052,1007,39
"Magdala, Stadt",99441,20.58,2033,1009,1024,99
"Niemegk, Stadt",14823,45.12,2031,1044,987,45
"Gräfenthal, Stadt",98743,36.42,2007,989,1018,55
"Teuschnitz, St",96358,34.25,1987,966,1021,58
"Rieneck, St",97794,26.19,1984,962,1022,76
"Wolfstein, Stadt",67752,13.75,1978,999,979,144
"Marktsteft, St",97342,10.51,1978,1030,948,188
"Sachsenhagen, Stadt",31553,15.29,1929,958,971,126
"Schauenstein, St",95197,26.66,1925,949,976,72
"Bacharach, Stadt",55422,23.35,1901,950,951,81
"Wiehe, Stadt",06571,24.51,1900,943,957,78
"Plaue, Stadt",99338,18.19,1896,945,951,104
"Brüssow, Stadt",17326,101.83,1883,945,938,18
"Kindelbrück, Stadt",99638,13.36,1877,929,948,141
"Penkun, Stadt",17328,78.88,1874,953,921,24
"Teupitz, Stadt",15755,48.15,1868,967,901,39
"Sayda, Stadt",09619,35.3,1865,922,943,53
"Velden, St",91235,21.34,1829,916,913,86
"Widdern, Stadt",74259,25.23,1815,937,878,72
"Langenburg, Stadt",74595,31.4,1813,930,883,58
"Usedom, Stadt",17406,38.98,1810,889,921,46
"Hettingen, Stadt",72513,46.06,1802,907,895,39
"Neukalen, Stadt",17154,47.97,1758,874,884,37
"Bad Sülze, Stadt",18334,26.66,1755,872,883,66
"Ranis, Stadt",07389,10.57,1720,829,891,163
"Röttingen, St",97285,27.21,1713,836,877,63
"Oberweißbach/Thür. Wald, Stadt",98744,9.65,1693,789,904,175
"Lehesten, Stadt",07349,35.94,1665,841,824,46
"Ornbau, St",91737,15.16,1646,834,812,109
"Oberhof, Stadt",98559,23.4,1625,792,833,69
"Rhinow, Stadt",14728,31.66,1614,809,805,51
"Stadt Wehlen, Stadt",01829,10.85,1609,821,788,148
"Neuerburg, Stadt",54673,10.17,1563,781,782,154
"Arneburg, Stadt",39596,30.64,1526,744,782,50
"Lassan, Stadt",17440,28.18,1513,779,734,54
"Stadtprozelten, St",97909,10.87,1496,770,726,138
"Buckow (Märkische Schweiz), Stadt",15377,14.42,1490,734,756,103
"Hohenleuben, Stadt",07958,9.53,1474,801,673,155
"Aub, St",97239,17.54,1474,756,718,84
"Hornbach, Stadt",66500,13.33,1469,745,724,110
"Kroppenstedt, Stadt",39397,38.65,1447,729,718,37
"Hohenberg a.d.Eger, St",95691,15.66,1422,701,721,91
"Franzburg, Stadt",18461,15.2,1394,673,721,92
"Schwarzenborn, Stadt",34639,26.9,1373,809,564,51
"Manderscheid, Stadt",54531,10.06,1373,654,719,136
"Lieberose, Stadt",15868,73.03,1360,678,682,19
"Liebstadt, Stadt",01825,37.36,1352,698,654,36
"Sankt Goarshausen, Loreleystadt, Stadt",56346,7.06,1338,672,666,190
"Richtenberg, Stadt",18461,15.68,1325,665,660,85
"Buttelstedt, Stadt",99439,18.85,1324,665,659,70
"Neustadt am Kulm, St",95514,20.3,1126,543,583,55
"Orlamünde, Stadt",07768,7.47,1120,550,570,150
"Schraplau, Stadt",06279,7.06,1118,549,569,158
"Werben (Elbe), Hansestadt",39615,53.37,1100,566,534,21
"Obermoschel, Stadt",67823,10.15,1045,524,521,103
"Kupferberg, St",95362,8.29,1042,527,515,126
"Lichtenberg, St",95192,9.47,1036,504,532,109
"Clingen, Stadt",99718,10.75,1021,502,519,95
"Rothenfels, St",97851,12.07,1001,517,484,83
"Stößen, Stadt",06667,7.29,916,430,486,126
"Kyllburg, Stadt",54655,4.62,886,450,436,192
"Sandau (Elbe), Stadt",39524,18.58,862,417,445,46
"Kaub, Stadt",56349,13.05,854,443,411,65
"Märkisch Buchholz, Stadt",15748,24.86,786,391,395,32
"Ziegenrück, Stadt",07924,8.25,660,317,343,80
"Schnackenburg, Stadt",29493,23.76,548,278,270,23
"Neumark, Stadt",99439,8.67,480,247,233,55
"Ummerstadt, Stadt",98663,15.73,474,246,228,30
"Arnis, Stadt",24399,0.45,275,143,132,611
